personality_word,word_valence,mean_val,mean_img,mean_freq
Neurotic,Negative,19.8707865168539,47.431693989071,22.259067357513
Crass,Negative,20.0225988700565,40.5116279069767,14.8248587570621
Stingy,Negative,20.0909090909091,62.9336734693878,34.280612244898
Disruptive,Negative,20.21608040201,67.0203045685279,40.2791878172589
Oppressed,Negative,20.3282051282051,58.2,30.0717948717949
Pretentious,Negative,20.4166666666667,54.46875,29.7040816326531
Gullible,Negative,20.7171717171717,50.825641025641,32.2182741116751
Crude,Negative,20.7384615384615,51.130890052356,26.2639593908629
Graceless,Negative,20.8643216080402,44.1846153846154,12.9076923076923
Disorderly,Negative,20.9246231155779,64.4744897959184,24.7258883248731
Envious,Negative,20.9343434343434,62.765306122449,29.497461928934
Repressed,Negative,20.9347826086957,43.6182795698925,20.9432989690722
Possessive,Negative,20.9444444444444,64.7142857142857,33.5939086294416
Egocentric,Negative,20.968253968254,47.2388888888889,17.2020725388601
Troublesome,Negative,21.0,60.9035532994924,29.3959390862944
Abrasive,Negative,21.0634920634921,50.6505376344086,19.860824742268
Meddlesome,Negative,21.1538461538462,43.1902173913044,10.048128342246
Impractical,Negative,21.2311557788945,42.1370558375635,38.989847715736
Dismissive,Negative,21.2741116751269,50.6632653061224,32.1167512690355
Misguided,Negative,21.4848484848485,39.8826530612245,27.4111675126904
Fickle,Negative,21.5106382978723,34.7837837837838,19.8214285714286
Naive,Negative,21.5125628140704,50.1179487179487,40.1675126903553
Unconvincing,Negative,21.6565656565657,38.7309644670051,31.9390862944162
Amoral,Negative,21.8896103896104,33.8074534161491,12.3872832369942
Uncreative,Negative,21.8989898989899,35.5634517766497,20.0355329949239
Aimless,Negative,22.0050505050505,40.860824742268,20.8520408163265
Coarse,Negative,22.4920634920635,51.1197916666667,20.6735751295337
Unreflective,Negative,22.5408163265306,32.8307692307692,15.4030612244898
Insecure,Negative,22.5979899497487,55.5939086294416,49.5786802030457
Disorganised,Negative,22.6262626262626,81.8172588832487,46.4416243654822
Shameless,Negative,22.6582914572864,51.3857868020305,33.2131979695431
Difficult,Negative,22.7738693467337,55.4467005076142,70.4162436548223
Unambitious,Negative,22.8140703517588,41.0812182741117,23.4670050761421
Short-sighted,Negative,22.9195979899498,56.4467005076142,33.3857868020305
Erratic,Negative,23.4639175257732,56.6510416666667,26.9695431472081
Obsessive,Negative,23.7537688442211,64.1472081218274,44.8020304568528
Childish,Negative,23.894472361809,77.0561224489796,50.2182741116751
Irritable,Negative,23.929648241206,68.2791878172589,47.9132653061224
Absentminded,Negative,23.9791666666667,52.7696335078534,24.1709844559585
Unpolished,Negative,24.3523316062176,49.8418367346939,15.2182741116751
Unrealistic,Negative,24.5778894472362,42.9035532994924,48.2284263959391
Easily discouraged,Negative,24.5829145728643,35.6903553299492,22.5177664974619
Confused,Negative,24.7688442211055,75.5228426395939,63.0761421319797
Disobedient,Negative,24.7889447236181,64.219387755102,28.3756345177665
Submissive,Negative,25.2835051546392,67.4030612244898,27.248730964467
Contradictory,Negative,25.5707070707071,38.6051282051282,35.0304568527919
Presumptuous,Negative,25.8449197860963,34.192513368984,23.6632124352332
Rowdy,Negative,25.9222797927461,75.2205128205128,24.5126903553299
Moody,Negative,26.035175879397,78.2335025380711,51.9390862944162
Abrupt,Negative,26.0918367346939,51.4591836734694,32.6649746192893
Vulnerable,Negative,26.825641025641,67.9695431472081,48.6142131979695
Mistaken,Negative,26.9040404040404,40.6192893401015,45.0710659898477
Rigid,Negative,27.479381443299,61.6701030927835,25.4263959390863
Simple,Negative,29.0050505050505,62.1827411167513,70.9137055837563
Modern,Positive,70.1173469387755,74.3908629441624,63.4619289340102
Sweet,Positive,71.2412060301507,81.1065989847716,68.4263959390863
Romantic,Positive,71.2613065326633,85.994923857868,53.005076142132
Youthful,Positive,71.5125628140703,88.48730964467,35.0710659898477
Popular,Positive,71.8994974874372,80.746192893401,65.1421319796954
Neat,Positive,72.9195979899498,84.6632653061225,47.497461928934
Selfless,Positive,73.5606060606061,49.4213197969543,36.5532994923858
Reflective,Positive,73.7386934673367,57.0659898477157,34.1319796954315
Stylish,Positive,73.7638190954774,84.263959390863,48.1269035532995
Decisive,Positive,73.8643216080402,46.507614213198,44.9441624365482
Open,Positive,73.8793969849246,66.756345177665,75.3248730964467
Sane,Positive,73.9393939393939,41.7157360406091,32.8274111675127
High-spirited,Positive,73.9692307692308,64.8418367346939,23.3756345177665
Protective,Positive,74.5075376884422,75.3705583756345,46.5177664974619
Sophisticated,Positive,74.510101010101,72.492385786802,39.5177664974619
Hopeful,Positive,74.5326633165829,56.4822335025381,62.2284263959391
Dynamic,Positive,74.6313131313131,45.8775510204082,34.0964467005076
Elegant,Positive,74.7070707070707,81.6852791878173,34.4619289340102
Freethinking,Positive,74.7424242424242,36.9238578680203,18.0765306122449
Cultured,Positive,74.8140703517588,61.8477157360406,37.248730964467
Tasteful,Positive,74.8693467336683,56.1878172588832,40.0710659898477
Responsive,Positive,74.9444444444444,48.5228426395939,42.8629441624365
Forgiving,Positive,74.964824120603,58.3959390862944,44.3299492385787
Flexible,Positive,74.964824120603,77.2030456852792,58.9390862944162
Progressive,Positive,75.0406091370558,43.005076142132,44.5228426395939
Adventurous,Positive,75.0653266331658,83.51269035533,46.1522842639594
Sociable,Positive,75.0909090909091,79.8928571428571,56.4720812182741
Amusing,Positive,75.1155778894472,76.9796954314721,54.5816326530612
Principled,Positive,75.1421319796954,38.8756476683938,22.8622448979592
Strong-willed,Positive,75.1758793969849,55.2131979695431,35.0
Energetic,Positive,75.2060301507538,85.9238578680203,51.6142131979695
Tidy,Positive,75.21608040201,88.3010204081633,66.2335025380711
Dignified,Positive,75.2319587628866,62.4507772020725,30.3908629441624
Cool,Positive,75.321608040201,78.5837563451777,76.5482233502538
Stable,Positive,75.3819095477387,58.238578680203,49.1319796954315
Precise,Positive,75.3869346733668,61.6649746192893,47.9289340101523
Personable,Positive,75.4322916666667,45.7860962566845,27.3526315789474
Alert,Positive,75.4438775510204,74.5736040609137,50.0408163265306
Disciplined,Positive,75.6868686868687,64.8730964467005,43.0761421319797
Realistic,Positive,75.6934673366834,39.4314720812183,63.6497461928934
Trusting,Positive,75.6984924623116,56.3502538071066,53.1725888324873
Gentle,Positive,75.748743718593,74.8121827411168,53.6395939086294
Tolerant,Positive,75.7575757575758,46.1522842639594,43.7309644670051
Original,Positive,75.7676767676768,38.746192893401,61.8984771573604
Active,Positive,75.8341708542714,89.6326530612245,68.8324873096447
Mature,Positive,76.0603015075377,74.6040609137056,59.9543147208122
Purposeful,Positive,76.1313131313131,42.8673469387755,31.4010152284264
Gracious,Positive,76.1457286432161,56.5,27.3451776649746
Intuitive,Positive,76.2959183673469,32.8923076923077,37.1421319796954
Relaxed,Positive,76.3517587939699,84.0659898477157,68.5736040609137
Ambitious,Positive,76.3888888888889,61.6903553299492,52.1472081218274
Secure,Positive,76.7035175879397,63.994923857868,58.7868020304569
Cooperative,Positive,76.7777777777778,60.7309644670051,45.2131979695431
Fun-loving,Positive,76.8693467336683,72.7664974619289,34.7208121827411
Captivating,Positive,76.969696969697,55.2461538461538,26.8020304568528
Eloquent,Positive,77.1576086956522,50.2606382978723,19.7150259067358
Nice,Positive,77.2020202020202,67.1319796954315,82.5888324873096
Heroic,Positive,77.2070707070707,83.2857142857143,30.0710659898477
Diligent,Positive,77.2153846153846,45.1302083333333,29.9897435897436
Peaceful,Positive,77.2929292929293,80.7868020304569,53.9390862944162
Charming,Positive,77.4120603015075,73.0710659898477,42.5634517766497
Practical,Positive,77.5454545454545,49.6091370558376,61.6040609137056
Easy-going,Positive,77.5555555555556,61.7664974619289,50.48730964467
Charismatic,Positive,77.6161616161616,66.0255102040816,32.756345177665
Exciting,Positive,77.6683417085427,72.2944162436548,73.0710659898477
Innovative,Positive,77.78391959799,51.6020408163265,48.1370558375635
Humble,Positive,77.8190954773869,52.5583756345178,38.9492385786802
Rational,Positive,77.9040404040404,38.8571428571429,46.2690355329949
Sharing,Positive,77.9393939393939,75.1472081218274,65.2893401015228
Insightful,Positive,78.0717948717949,37.4358974358974,35.751269035533
Observant,Positive,78.0808080808081,58.3451776649746,45.2842639593909
Perceptive,Positive,78.1785714285714,41.6701030927835,36.8469387755102
Conscientious,Positive,78.3703703703704,45.5333333333333,33.6577540106952
Optimistic,Positive,78.3718592964824,57.9746192893401,59.492385786802
Courteous,Positive,78.6717948717949,64.1641025641026,28.0564102564103
Logical,Positive,78.6934673366834,51.6598984771574,53.2030456852792
Self-sufficient,Positive,78.7185929648241,55.8223350253807,40.9035532994924
Imaginative,Positive,79.010101010101,61.492385786802,53.3807106598985
Calm,Positive,79.0804020100502,83.8274111675127,70.492385786802
Engaging,Positive,79.1557788944724,55.8832487309645,50.0152284263959
Witty,Positive,79.2070707070707,57.6428571428571,40.3248730964467
Patient,Positive,79.4070351758794,66.3299492385787,67.0507614213198
Adaptable,Positive,79.4522613065327,43.8680203045685,41.6700507614213
Passionate,Positive,79.4673366834171,79.4365482233503,52.8883248730964
Clear-headed,Positive,79.4747474747475,44.0663265306122,27.0812182741117
Sympathetic,Positive,79.6919191919192,64.0203045685279,52.7918781725888
Well-read,Positive,79.7587939698493,61.5969387755102,30.219387755102
Self-reliant,Positive,79.8989898989899,49.9238578680203,32.5634517766497
Affectionate,Positive,80.0452261306533,83.4213197969543,50.1827411167513
Thorough,Positive,80.0454545454545,46.0355329949239,55.9796954314721
Cheerful,Positive,80.0552763819096,85.8527918781726,53.3096446700508
Extraordinary,Positive,80.1262626262626,58.9847715736041,45.0812182741117
Focused,Positive,80.3819095477387,69.015306122449,59.4822335025381
Organised,Positive,80.7989949748744,82.6294416243655,68.6446700507614
